job name,company name,workarea,salary,update time
数据处理工程师（实习生）,上海嘉勉信息技术有限公司,上海-虹口区,3-4.5千/月,2021-04-25 04:01:31
AI智能计算设计师,中国航空无线电电子研究所,上海-闵行区,,2021-04-24 17:00:01
数据处理专员,上海培菁商务咨询工作室,上海-徐汇区,6-8千/月,2021-04-24 17:00:01
Intern Python,哲奔投资管理咨询（上海）有限公司,上海-浦东新区,120元/天,2021-04-24 17:00:01
数据分析师-2021届 (MJ000498),上海诺亚金融服务有限公司,上海-杨浦区,0.8-1.4万/月,2021-04-24 16:17:31
课题研究实习生,必多隆环境技术（上海）有限公司,上海-闵行区,260元/天,2021-04-24 15:00:01
数据分析师,中联重科基础施工机械公司,上海,0.7-1万/月,2021-04-24 13:51:41
力学应届毕业生,常诚车业江苏有限公司,上海-嘉定区,3-4.5千/月,2021-04-24 10:22:43
数据处理工程师,上海嘉勉信息技术有限公司,上海-虹口区,4-8千/月,2021-04-24 08:00:01
Graduate Business Intelligence/Data Analyst,菲缔信息科技（上海）有限公司,上海-静安区,1-1.5万/月,2021-04-24 04:02:37
数据分析助理,小佩网络科技（上海）有限公司,上海-浦东新区,0.8-1万/月,2021-04-23 18:40:40
计算机软件专业实习生,中国投融资担保股份有限公司,北京-海淀区,2-3千/月,2021-04-23 18:00:01
无人驾驶深度学习实习生,杭州宏景智驾科技有限公司,上海-嘉定区,4.5-6千/月,2021-04-23 16:26:25
初级数据分析师（舆情）,上海鹏越惊虹信息技术发展有限公司,上海-徐汇区,4.5-6千/月,2021-04-23 15:33:11
数据分析实习生,上海智驭电子商务有限公司,上海,150元/天,2021-04-23 15:08:07
数据分析管培生,上海嘉银金融科技股份有限公司,上海-浦东新区,1.5-2万/月,2021-04-23 13:29:14
数据分析师（实习留用）,上海捷利供应链管理有限公司,上海-长宁区,7-8.5千/月,2021-04-23 12:55:21
金融数据规划,上海朝阳永续信息技术股份有限公司,上海-浦东新区,0.6-1万/月,2021-04-23 11:47:31
数据分析工程师（实习生）,飞巽传感技术（上海）有限公司,上海,150元/天,2021-04-23 10:21:19
数据调研助理实习生,励进展览（上海）有限公司,北京,150元/天,2021-04-23 10:04:20
数据分析助理,上海崇定商贸有限公司,上海,4-7千/月,2021-04-23 09:58:31
销售助理 订单员 数据统计员,上海唯丝蔻品牌管理有限公司,上海-浦东新区,150元/天,2021-04-23 09:41:48
数据运营专员（可实习）,上海本土物流有限公司,上海-普陀区,6-8千/月,2021-04-23 09:37:09
金融实习生//双休,北京盛业恒泰投资有限公司,北京-朝阳区,1-1.5万/月,2021-04-23 09:26:12
